player,damage_round,kdr,headshot,acs,first_bloods,clutches,vandal_phantom,fav_agent,num_matches,clutches_per_game,fb_per_game,ladder_position
100T Asuna,167.7,1.21,26.1,261.1,676,299,0,jett,194,1.541237113,3.484536082,1
tech,177,1.28,31.8,268.1,469,248,0,reyna,158,1.569620253,2.96835443,2
SoaR Zander,150.2,1.24,28.5,228.8,358,257,0,viper,186,1.38172043,1.924731183,3
johnqt,158.8,1.33,28.3,237.8,231,149,0,jett,116,1.284482759,1.99137931,4
C9 poiz,169.6,1.28,27.8,263.8,508,206,1,jett,150,1.373333333,3.386666667,5
T1 thwifo,154.9,1.23,28.7,232.4,380,204,0,viper,169,1.207100592,2.24852071,6
BBG Governor,162.9,1.13,28,254.3,1219,452,0,jett,278,1.625899281,4.384892086,7
IMT JonahP,160.4,1.18,29,240,241,158,0,jett,91,1.736263736,2.648351648,8
Caden,158.2,1.2,25.1,230.2,242,164,0,raze,124,1.322580645,1.951612903,9
tarik,167.2,1.36,20.8,261.8,845,313,0,jett,245,1.27755102,3.448979592,10
100T Ethan,165.9,1.29,24.5,250.8,243,169,0,sova,118,1.43220339,2.059322034,11
SEN sinatraa,164.9,1.14,18.3,248.6,338,209,1,raze,138,1.514492754,2.449275362,12
Jangler,133.1,1.12,29.4,200.8,116,167,0,astra,117,1.427350427,0.991452991,13
NRG tex,164.3,1.21,34.6,242.7,210,127,0,kayo,88,1.443181818,2.386363636,14
TSM FTX bang,150,1.12,38.6,226.5,289,197,1,skye,126,1.563492063,2.293650794,15
T1 curry,159,1.19,27.8,240.1,550,303,1,viper,215,1.409302326,2.558139535,16
Playboi Joe,145.5,1.09,25.5,212.2,233,219,0,sova,159,1.377358491,1.465408805,17
GRD neT,145.3,1.06,31.6,221.4,296,187,0,viper,125,1.496,2.368,18
SoaR Cryo,172.6,1.32,29.3,271.1,994,340,0,jett,244,1.393442623,4.073770492,19
CallMeMar,135.3,0.99,33.2,197.2,318,294,0,reyna,186,1.580645161,1.709677419,20
RISE Derrek,153.8,1.09,35.8,224.5,324,188,1,sova,152,1.236842105,2.131578947,21
T1 JAWGEMO,162.7,1.15,25.1,252.9,424,219,0,jett,145,1.510344828,2.924137931,22
EG Boostio,156,1.12,30.7,239.1,194,119,0,jett,72,1.652777778,2.694444444,23
V1 Zellsis,157.2,1.18,23.5,237,184,134,1,kayo,87,1.540229885,2.114942529,24
zt0l,144.9,1.11,20.7,220.9,286,195,1,sova,147,1.326530612,1.945578231,25
SQ pl1xx,161,1.2,20.8,243.8,527,330,0,jett,244,1.352459016,2.159836066,26
LG TiGG,145.1,1.07,26.4,224.7,477,244,0,astra,175,1.394285714,2.725714286,27
LFT OXY,168,1.2,31.5,259.7,539,301,0,jett,180,1.672222222,2.994444444,28
OXG Reduxx,173.6,1.21,27.4,270.2,607,224,0,jett,136,1.647058824,4.463235294,29
tylerboy,154.3,1.12,18.7,233.7,252,193,0,reyna,127,1.519685039,1.984251969,30
Vora,142.6,1.07,25.7,209.9,448,375,0,sova,275,1.363636364,1.629090909,31
GRD valyn,146.6,1.09,29.2,223.2,211,147,0,viper,94,1.563829787,2.244680851,32
nabil,166.8,1.18,29.8,254.6,452,196,0,reyna,128,1.53125,3.53125,33
awkwa,148.2,1.04,28.3,222.2,728,391,0,viper,263,1.486692015,2.768060837,34
nillyaz,128.3,0.96,28.4,195.2,201,184,1,skye,123,1.495934959,1.634146341,35
cadet,154.4,1.06,26.5,228,200,134,0,reyna,85,1.576470588,2.352941176,36
SQ iyen,137.6,1.09,20.6,212.3,174,125,0,astra,88,1.420454545,1.977272727,37
bearkun,138.2,1,19.5,206.8,296,243,0,reyna,169,1.437869822,1.75147929,38
stellar,149.1,1.1,22.5,219.4,160,178,0,sova,112,1.589285714,1.428571429,39
NRG s0m,168.8,1.32,30.4,264.4,468,211,0,jett,134,1.574626866,3.492537313,40
V1 wippie,161.5,1.27,19.7,244,294,215,1,astra,153,1.405228758,1.921568627,41
dizzy,153.8,1.19,27.1,229.4,426,252,0,reyna,190,1.326315789,2.242105263,42
V1 effys,144.3,1.16,23.5,213.7,134,106,1,sova,84,1.261904762,1.595238095,43
Devvie,146.4,1.11,25.1,215.9,155,154,0,sova,101,1.524752475,1.534653465,44
RoguePringle,152.9,1.1,23.7,230,168,121,0,jett,74,1.635135135,2.27027027,45
BabyJ,144.3,1.08,25.7,216.4,278,164,1,cypher,126,1.301587302,2.206349206,46
Habib,152.7,1.13,30.3,229.1,298,188,0,astra,121,1.553719008,2.462809917,47
JASONR24,146.1,1.05,24.3,216.9,459,326,1,sova,229,1.423580786,2.004366812,48
hcu,162.2,1.14,28.1,251.5,498,267,0,jett,148,1.804054054,3.364864865,49
100T steel,149.5,1.06,22.4,220.4,472,266,1,sova,179,1.48603352,2.636871508,50
GMAN,142.8,1.08,33.7,217.4,478,356,0,reyna,233,1.527896996,2.051502146,51
laski,138.1,1.02,26.2,207.4,385,236,1,jett,179,1.318435754,2.150837989,52
sussy jakee,151.2,1.06,28.8,231.9,439,316,0,astra,179,1.765363128,2.452513966,53
I love mina,144.9,1.1,25.5,222.5,545,270,0,jett,201,1.343283582,2.711442786,54
BBG Critical,152.3,1.04,25.9,226.5,366,264,0,sova,159,1.660377358,2.301886792,55
nathn,149.2,1.08,25.6,220.4,290,238,0,sova,157,1.515923567,1.847133758,56
GHOST chase,158.7,1.2,23.5,235.6,184,103,1,killjoy,75,1.373333333,2.453333333,57
Serving,148.7,1.15,19.9,222,207,139,0,raze,112,1.241071429,1.848214286,58
harmful,174.7,1.3,36.3,276.6,300,91,0,jett,65,1.4,4.615384615,59
dynamic,159.9,1.16,32.1,247.7,582,229,0,jett,161,1.422360248,3.614906832,60
V1 nosyy,139.8,0.93,26.4,214.2,327,249,0,skye,136,1.830882353,2.404411765,61
12givingfreeloPK,137.4,0.96,23,202.9,337,208,0,jett,154,1.350649351,2.188311688,62
Codey,161.9,1.12,21.2,249.2,782,340,0,yoru,226,1.504424779,3.460176991,63
devy,147,1.03,33.1,223.4,407,233,0,jett,140,1.664285714,2.907142857,64
C9 katsumi,127,0.99,35.5,188.2,157,197,0,astra,134,1.470149254,1.171641791,65
Virtyy,163,1.15,28,254.4,1097,403,0,jett,253,1.592885375,4.335968379,66
riku,136.8,0.97,18.7,207.5,168,153,1,astra,94,1.627659574,1.787234043,67
Ezire,126.5,0.96,26.6,187.3,142,141,0,astra,100,1.41,1.42,68
FaZe ZachaREEE,133.8,0.97,24,196.6,188,178,1,cypher,123,1.447154472,1.528455285,69
JOnaaa6,150.3,1.18,28.2,227.6,180,106,0,viper,85,1.247058824,2.117647059,70
100T b0i,140.9,1.14,23.3,212.2,213,171,1,astra,137,1.248175182,1.554744526,71
Soba,145.6,1.03,29.4,218.4,225,153,0,astra,107,1.429906542,2.102803738,72
Lear,146.8,1.1,27.6,215.5,422,294,0,sova,249,1.180722892,1.694779116,73
Ivan,150.5,1.15,25.8,230,212,103,0,jett,76,1.355263158,2.789473684,74
Spaz,138.5,1.03,21.8,204.9,172,164,1,astra,111,1.477477477,1.54954955,75
Rise Shanks,165,1.11,20,259.4,778,346,1,jett,204,1.696078431,3.81372549,76
diceyzx,163.8,1.19,36.8,240.7,386,244,0,skye,161,1.51552795,2.397515528,77
Twitch Phanes,149.2,1.08,24.3,229.5,502,248,0,jett,180,1.377777778,2.788888889,78
TSM FTX WARDELL,172.4,1.43,25,272.5,361,122,1,jett,89,1.370786517,4.056179775,79
BAZIX,160.4,1.05,25.3,241.4,245,126,0,reyna,70,1.8,3.5,80
XSET AYRIN,146.6,1.11,20.6,222.9,155,109,1,jett,71,1.535211268,2.183098592,81
WhoFramedMe,148.6,1.19,33.4,225.5,330,172,0,reyna,130,1.323076923,2.538461538,82
OneSnipeKO,148.8,1.12,31.3,221.5,252,181,0,reyna,122,1.483606557,2.06557377,83
sacred,150.2,1.02,30.8,229.3,447,207,0,reyna,137,1.510948905,3.262773723,84
clear,171.8,1.26,33.9,266.1,403,168,0,reyna,123,1.365853659,3.276422764,85
slpperyseal16,146.9,1.11,30.8,212.7,152,176,0,sova,127,1.385826772,1.196850394,86
jovahnii,158.4,1.09,26.1,236,217,148,0,sova,104,1.423076923,2.086538462,87
NELPY,122.7,0.83,23.8,185.9,376,299,0,astra,179,1.670391061,2.100558659,88
yiinel,140.6,1.06,28.5,209.6,149,113,0,astra,91,1.241758242,1.637362637,89
PROD,143.8,0.93,23.9,222,1080,491,0,jett,300,1.636666667,3.6,90
T1 Sayaplayer,153.3,1.17,28.8,230.1,240,107,0,jett,81,1.320987654,2.962962963,91
LG moose,147.4,1.15,26.2,218.8,266,183,1,sova,168,1.089285714,1.583333333,92
stunna,140.9,1.02,33.5,215.7,317,202,0,jett,124,1.629032258,2.556451613,93
xprt,147.2,1.07,28.4,216.7,335,191,0,jett,140,1.364285714,2.392857143,94
miniature,144.9,1.09,26.9,216.7,292,203,0,astra,136,1.492647059,2.147058824,95
COL brawk,146.7,1,26.1,210.9,154,144,0,sova,106,1.358490566,1.452830189,96
sugarfree,147.9,1.08,26.8,225.8,308,189,0,jett,129,1.465116279,2.387596899,97
Favio,144.9,1.05,28.5,217.5,363,239,0,jett,159,1.503144654,2.283018868,98
Gameface,137.7,1.06,25.5,202.8,263,203,0,sage,152,1.335526316,1.730263158,99
PureVNS,142.3,1.04,29.2,209.8,536,337,0,viper,274,1.229927007,1.95620438,100
